City,State,Year,Filename,Training Accuracy,Training Confusion Matrix,Validation Accuracy,Validation Confusion Matrix
Cincinnati,Alabama,2019,Alabama_Cincinnati_C,0.992954545,"[[0, 0, 0, 0], [0, 19528, 50, 0], [0, 69, 10344, 119], [0, 0, 41, 9449]]",0.994223754,"[[0, 0, 0, 0], [0, 4858, 8, 0], [0, 18, 2653, 24], [0, 0, 7, 2300]]"
Cincinnati,Alabama,2024,Alabama_Cincinnati_C,0.991671031,"[[0, 4, 0, 0], [0, 20614, 77, 0], [0, 108, 11298, 108], [0, 0, 37, 7855]]",0.991294777,"[[0, 1, 0, 0], [0, 5277, 21, 0], [0, 34, 2719, 24], [0, 0, 7, 1911]]"
Cincinnati,Alabama,2019,Alabama_Cincinnati_N,0.991230754,"[[96, 10, 0, 0], [13, 10489, 88, 0], [0, 66, 12676, 109], [0, 0, 58, 15623]]",0.991747042,"[[26, 1, 0, 0], [6, 2587, 22, 0], [0, 17, 3336, 24], [0, 0, 13, 4025]]"
Cincinnati,Alabama,2024,Alabama_Cincinnati_N,0.992812084,"[[56, 27, 0, 0], [52, 11992, 18, 0], [0, 58, 13415, 91], [0, 0, 40, 14040]]",0.990936556,"[[21, 11, 0, 0], [22, 2891, 9, 0], [0, 16, 3367, 20], [0, 0, 12, 3561]]"
Cincinnati,Alabama,2019,Alabama_Cincinnati_NE,0.991976678,"[[8, 0, 0, 0], [0, 15769, 68, 0], [0, 86, 14214, 113], [0, 0, 55, 9820]]",0.990974359,"[[0, 0, 0, 0], [0, 3795, 18, 0], [0, 30, 3446, 28], [0, 0, 12, 2421]]"
Cincinnati,Alabama,2024,Alabama_Cincinnati_NE,0.992692203,"[[0, 1, 0, 0], [0, 16756, 68, 0], [0, 83, 15387, 79], [0, 0, 63, 7794]]",0.993889612,"[[0, 0, 0, 0], [0, 4219, 17, 0], [0, 22, 3725, 13], [0, 0, 9, 1978]]"
Cincinnati,Alabama,2019,Alabama_Cincinnati_E,0.992242185,"[[2039, 0, 0, 0], [1, 14091, 69, 0], [0, 72, 12976, 117], [0, 0, 48, 10160]]",0.992023928,"[[542, 0, 0, 0], [0, 3580, 20, 0], [0, 17, 3332, 25], [0, 0, 18, 2496]]"
Cincinnati,Alabama,2024,Alabama_Cincinnati_E,0.991223451,"[[2022, 1, 0, 0], [26, 16849, 62, 0], [0, 97, 13601, 87], [0, 0, 77, 7057]]",0.991620112,"[[520, 0, 0, 0], [10, 4240, 13, 0], [0, 19, 3418, 28], [0, 0, 14, 1762]]"
Cincinnati,Alabama,2019,Alabama_Cincinnati_SE,0.991962103,"[[1554, 0, 0, 0], [0, 10972, 89, 0], [0, 60, 11414, 114], [0, 0, 56, 15428]]",0.990569864,"[[358, 0, 0, 0], [0, 2623, 23, 0], [0, 17, 2958, 30], [0, 0, 23, 3830]]"
Cincinnati,Alabama,2024,Alabama_Cincinnati_SE,0.990434476,"[[1470, 1, 0, 0], [27, 14207, 71, 0], [0, 93, 12409, 143], [0, 0, 45, 11260]]",0.990373164,"[[383, 1, 0, 0], [12, 3547, 26, 0], [0, 20, 3127, 27], [0, 0, 11, 2922]]"
Cincinnati,Alabama,2019,Alabama_Cincinnati_S,0.994159119,"[[3153, 0, 0, 0], [0, 19136, 38, 0], [0, 63, 8217, 85], [0, 0, 41, 8131]]",0.99426582,"[[798, 0, 0, 0], [2, 4813, 10, 0], [0, 13, 2047, 23], [0, 0, 8, 2052]]"
