City,State,Year,Filename,Training Accuracy,Training Confusion Matrix,Validation Accuracy,Validation Confusion Matrix
Visakhapatnam,AndhraPradesh,2024,AndhraPradesh_Visakhapatnam_NW,0.998129934,"[[833, 0, 0], [0, 12074, 69], [0, 35, 42602]]",0.998128958,"[[209, 0, 0], [0, 3001, 20], [0, 6, 10660]]"
Guwahati,Assam,2019,Assam_Guwahati_C,0.983002235,"[[2945, 332, 0], [572, 22680, 14], [0, 48, 30240]]",0.981896309,"[[728, 79, 0], [165, 5708, 4], [0, 9, 7503]]"
Guwahati,Assam,2024,Assam_Guwahati_C,0.995124121,"[[100, 136, 0], [50, 29026, 77], [0, 11, 26795]]",0.995237757,"[[29, 34, 0], [9, 7210, 21], [0, 3, 6763]]"
Guwahati,Assam,2019,Assam_Guwahati_N,0.996976609,"[[11080, 0, 0], [5, 23478, 92], [0, 70, 20511]]",0.996259262,"[[2790, 0, 0], [0, 5885, 26], [0, 26, 5174]]"
Guwahati,Assam,2024,Assam_Guwahati_N,0.996911842,"[[10163, 0, 0], [23, 28717, 71], [0, 76, 15999]]",0.997909759,"[[2599, 0, 0], [5, 7215, 9], [0, 15, 4031]]"
Guwahati,Assam,2019,Assam_Guwahati_NE,0.997620035,"[[8586, 0, 0], [17, 29341, 81], [0, 34, 17404]]",0.997639654,"[[2228, 0, 0], [3, 7398, 16], [0, 14, 4322]]"
Guwahati,Assam,2024,Assam_Guwahati_NE,0.99781043,"[[7528, 0, 0], [2, 38436, 32], [0, 87, 9177]]",0.998067979,"[[1934, 0, 0], [0, 9708, 5], [0, 22, 2306]]"
Guwahati,Assam,2019,Assam_Guwahati_E,0.998939688,"[[0, 1, 0], [0, 35092, 9], [0, 49, 20493]]",0.998635841,"[[0, 0, 0], [0, 8721, 2], [0, 17, 5188]]"
Guwahati,Assam,2024,Assam_Guwahati_E,0.997587585,"[[0, 0, 0], [0, 41658, 47], [0, 87, 13754]]",0.998364619,"[[0, 0, 0], [0, 10573, 7], [0, 16, 3468]]"
Guwahati,Assam,2019,Assam_Guwahati_SE,0.999199003,"[[0, 0, 0], [0, 508, 45], [0, 0, 55627]]",0.999218417,"[[0, 0, 0], [0, 119, 11], [0, 0, 13944]]"
Guwahati,Assam,2024,Assam_Guwahati_SE,0.995525648,"[[0, 0, 0], [0, 947, 252], [0, 0, 55122]]",0.99540527,"[[0, 0, 0], [0, 227, 64], [0, 0, 13638]]"
Guwahati,Assam,2019,Assam_Guwahati_S,0.998841706,"[[0, 0, 0], [0, 142, 65], [0, 0, 55910]]",0.999225188,"[[0, 0, 0], [0, 46, 11], [0, 0, 14140]]"
Guwahati,Assam,2024,Assam_Guwahati_S,0.997725577,"[[0, 0, 0], [0, 501, 128], [0, 0, 55649]]",0.996865204,"[[0, 0, 0], [0, 128, 44], [0, 0, 13864]]"
