City,State,Year,Filename,Training Accuracy,Training Confusion Matrix,Validation Accuracy,Validation Confusion Matrix
Minsk,Belarus,2024,Belarus_Minsk_N,0.991725414,"[[966, 14, 0, 0], [39, 15862, 85, 0], [0, 41, 14615, 79], [0, 0, 73, 8228]]",0.992114982,"[[259, 2, 0, 0], [12, 3923, 22, 0], [0, 13, 3766, 18], [0, 0, 12, 1992]]"
Minsk,Belarus,2019,Belarus_Minsk_NE,0.990232477,"[[546, 40, 0, 0], [89, 20170, 82, 0], [0, 39, 12175, 100], [0, 0, 42, 6850]]",0.990413421,"[[150, 13, 0, 0], [22, 5023, 13, 0], [0, 8, 3007, 32], [0, 0, 8, 1738]]"
Minsk,Belarus,2024,Belarus_Minsk_NE,0.992929496,"[[995, 0, 0, 0], [10, 14470, 88, 0], [0, 44, 13741, 90], [0, 0, 50, 10396]]",0.993935779,"[[224, 0, 0, 0], [3, 3786, 18, 0], [0, 7, 3450, 25], [0, 0, 8, 2538]]"
Minsk,Belarus,2019,Belarus_Minsk_E,0.992957217,"[[152, 24, 0, 0], [25, 22799, 19, 0], [0, 62, 10755, 92], [0, 0, 59, 5912]]",0.990650447,"[[30, 10, 0, 0], [8, 5641, 9, 0], [0, 21, 2735, 26], [0, 0, 19, 1448]]"
Minsk,Belarus,2024,Belarus_Minsk_E,0.992209809,"[[8, 94, 0, 0], [0, 21728, 26, 0], [0, 79, 11340, 59], [0, 0, 53, 6535]]",0.992664791,"[[3, 25, 0, 0], [0, 5470, 5, 0], [0, 17, 2788, 17], [0, 0, 9, 1618]]"
Minsk,Belarus,2019,Belarus_Minsk_SE,0.987623394,"[[1730, 85, 0, 0], [138, 14401, 31, 0], [0, 52, 11757, 141], [0, 0, 52, 11931]]",0.987387029,"[[466, 27, 0, 0], [28, 3559, 8, 0], [0, 12, 2839, 41], [0, 0, 11, 3078]]"
Minsk,Belarus,2024,Belarus_Minsk_SE,0.973979966,"[[1552, 260, 0, 0], [605, 14765, 33, 0], [0, 31, 15169, 76], [0, 0, 60, 8379]]",0.972030727,"[[428, 74, 0, 0], [148, 3599, 6, 0], [0, 25, 3737, 14], [0, 0, 17, 2106]]"
Minsk,Belarus,2019,Belarus_Minsk_S,0.992018415,"[[10, 79, 0, 0], [7, 17611, 50, 0], [0, 51, 11011, 75], [0, 0, 57, 11016]]",0.992316247,"[[4, 22, 0, 0], [2, 4209, 5, 0], [0, 17, 2722, 17], [0, 0, 13, 2880]]"
Minsk,Belarus,2024,Belarus_Minsk_S,0.992147516,"[[0, 27, 0, 0], [0, 17394, 73, 0], [0, 55, 12519, 101], [0, 0, 57, 9634]]",0.992423477,"[[0, 5, 0, 0], [0, 4281, 17, 0], [0, 5, 3050, 36], [0, 0, 12, 2493]]"
Minsk,Belarus,2019,Belarus_Minsk_SW,0.993029008,"[[56, 43, 0, 0], [29, 18035, 10, 0], [0, 62, 11061, 81], [0, 0, 54, 10592]]",0.992345924,"[[13, 11, 0, 0], [10, 4522, 1, 0], [0, 12, 2801, 22], [0, 0, 21, 2647]]"
Minsk,Belarus,2024,Belarus_Minsk_SW,0.992587046,"[[26, 29, 0, 0], [0, 14682, 59, 0], [0, 48, 14763, 83], [0, 0, 78, 10297]]",0.992577733,"[[2, 4, 0, 0], [0, 3750, 16, 0], [0, 10, 3571, 27], [0, 0, 17, 2573]]"
Minsk,Belarus,2019,Belarus_Minsk_W,0.992327113,"[[190, 30, 0, 0], [14, 18434, 52, 0], [0, 53, 12206, 86], [0, 0, 75, 9262]]",0.992436306,"[[57, 7, 0, 0], [4, 4589, 12, 0], [0, 18, 3075, 24], [0, 0, 11, 2251]]"
Minsk,Belarus,2024,Belarus_Minsk_W,0.989738024,"[[109, 49, 0, 0], [72, 19227, 67, 0], [0, 80, 12917, 69], [0, 0, 79, 7869]]",0.989229081,"[[31, 19, 0, 0], [15, 4714, 18, 0], [0, 20, 3135, 18], [0, 0, 18, 2039]]"
Minsk,Belarus,2019,Belarus_Minsk_NW,0.993157138,"[[1361, 20, 0, 0], [30, 12982, 30, 0], [0, 48, 10529, 124], [0, 0, 24, 15186]]",0.992909926,"[[337, 0, 0, 0], [3, 3275, 4, 0], [0, 21, 2663, 32], [0, 0, 11, 3668]]"
Minsk,Belarus,2024,Belarus_Minsk_NW,0.989079022,"[[1237, 62, 0, 0], [165, 14293, 63, 0], [0, 45, 12146, 40], [0, 0, 66, 12264]]",0.987142022,"[[304, 15, 0, 0], [60, 3582, 19, 0], [0, 14, 3079, 10], [0, 0, 14, 3169]]"
Sarajevo,Bosnia,2019,Bosnia_Sarajevo_C,0.993620655,"[[0, 1, 0, 0], [0, 13218, 33, 0], [0, 71, 10650, 118], [0, 0, 31, 15694]]",0.9931,"[[0, 1, 0, 0], [0, 3266, 9, 0], [0, 28, 2723, 28], [0, 0, 3, 3942]]"
Sarajevo,Bosnia,2024,Bosnia_Sarajevo_C,0.99465509,"[[0, 0, 0, 0], [0, 14029, 59, 0], [0, 43, 12192, 59], [0, 0, 52, 13417]]",0.994797919,"[[0, 0, 0, 0], [0, 3565, 15, 0], [0, 9, 3020, 13], [0, 0, 15, 3359]]"
Sarajevo,Bosnia,2019,Bosnia_Sarajevo_N,0.993480012,"[[0, 0, 0, 0], [0, 2311, 30, 0], [0, 27, 6077, 185], [0, 0, 17, 31077]]",0.991691395,"[[0, 0, 0, 0], [0, 555, 11, 0], [0, 7, 1552, 59], [0, 0, 7, 7919]]"
Sarajevo,Bosnia,2024,Bosnia_Sarajevo_N,0.994286573,"[[0, 0, 0, 0], [0, 3226, 92, 0], [0, 29, 11465, 57], [0, 0, 50, 24987]]",0.993445598,"[[0, 0, 0, 0], [0, 829, 26, 0], [0, 9, 2842, 11], [0, 0, 19, 6181]]"
Sarajevo,Bosnia,2019,Bosnia_Sarajevo_NE,0.991542388,"[[0, 0, 0, 0], [0, 223, 36, 0], [0, 0, 3597, 291], [0, 0, 11, 35806]]",0.992469283,"[[0, 0, 0, 0], [0, 53, 5, 0], [0, 0, 883, 70], [0, 0, 1, 9080]]"
Sarajevo,Bosnia,2024,Bosnia_Sarajevo_NE,0.994193291,"[[0, 0, 0, 0], [0, 404, 66, 0], [0, 4, 7346, 140], [0, 0, 23, 32143]]",0.993957095,"[[0, 0, 0, 0], [0, 97, 19, 0], [0, 1, 1813, 36], [0, 0, 4, 7959]]"
Sarajevo,Bosnia,2019,Bosnia_Sarajevo_E,0.995363641,"[[0, 1, 0, 0], [0, 8050, 21, 0], [0, 48, 8728, 87], [0, 0, 28, 22939]]",0.994297149,"[[0, 0, 0, 0], [0, 2002, 11, 0], [0, 16, 2154, 24], [0, 0, 6, 5782]]"
Sarajevo,Bosnia,2024,Bosnia_Sarajevo_E,0.994062829,"[[0, 0, 0, 0], [0, 8340, 63, 0], [0, 45, 9400, 93], [0, 0, 36, 21941]]",0.994417306,"[[0, 0, 0, 0], [0, 2111, 11, 0], [0, 13, 2404, 17], [0, 0, 15, 5460]]"
Sarajevo,Bosnia,2019,Bosnia_Sarajevo_SE,0.994335826,"[[0, 0, 0, 0], [0, 149, 25, 0], [0, 0, 3921, 194], [0, 0, 9, 35955]]",0.995775201,"[[0, 0, 0, 0], [0, 34, 1, 0], [0, 0, 975, 39], [0, 0, 3, 9126]]"
Sarajevo,Bosnia,2024,Bosnia_Sarajevo_SE,0.995858854,"[[0, 0, 0, 0], [0, 149, 46, 0], [0, 1, 4314, 92], [0, 0, 28, 35697]]",0.99712985,"[[0, 0, 0, 0], [0, 43, 3, 0], [0, 0, 1023, 18], [0, 0, 8, 9009]]"
Sarajevo,Bosnia,2019,Bosnia_Sarajevo_S,0.994220376,"[[0, 0, 0, 0], [0, 3115, 37, 0], [0, 26, 5514, 155], [0, 0, 13, 31108]]",0.994138335,"[[0, 0, 0, 0], [0, 823, 9, 0], [0, 10, 1465, 36], [0, 0, 5, 7888]]"
Sarajevo,Bosnia,2024,Bosnia_Sarajevo_S,0.994517217,"[[0, 0, 0, 0], [0, 3827, 19, 0], [0, 34, 6524, 151], [0, 0, 17, 29736]]",0.994645924,"[[0, 0, 0, 0], [0, 901, 3, 0], [0, 19, 1677, 26], [0, 0, 5, 7268]]"
Sarajevo,Bosnia,2019,Bosnia_Sarajevo_SW,0.993144837,"[[3, 2, 0, 0], [0, 9794, 77, 0], [0, 24, 14148, 125], [0, 0, 45, 15606]]",0.994120628,"[[4, 1, 0, 0], [0, 2430, 14, 0], [0, 9, 3553, 23], [0, 0, 11, 3820]]"
Sarajevo,Bosnia,2024,Bosnia_Sarajevo_SW,0.994348154,"[[10, 0, 0, 0], [1, 12638, 76, 0], [0, 48, 15857, 47], [0, 0, 53, 11080]]",0.994453968,"[[0, 0, 0, 0], [0, 3126, 12, 0], [0, 16, 3867, 15], [0, 0, 12, 2869]]"
Sarajevo,Bosnia,2019,Bosnia_Sarajevo_W,0.993146417,"[[0, 0, 0, 0], [0, 12016, 26, 0], [0, 91, 11099, 120], [0, 0, 38, 16735]]",0.99313478,"[[0, 0, 0, 0], [0, 2899, 5, 0], [0, 19, 2753, 35], [0, 0, 9, 4185]]"
Sarajevo,Bosnia,2024,Bosnia_Sarajevo_W,0.993962377,"[[0, 0, 0, 0], [0, 13417, 66, 0], [0, 53, 12703, 36], [0, 0, 87, 13720]]",0.995185557,"[[0, 0, 0, 0], [0, 3397, 9, 0], [0, 11, 3138, 8], [0, 0, 20, 3387]]"
Sarajevo,Bosnia,2019,Bosnia_Sarajevo_NW,0.994566578,"[[0, 0, 0, 0], [0, 3401, 51, 0], [0, 12, 8129, 103], [0, 0, 51, 28191]]",0.994405594,"[[0, 0, 0, 0], [0, 795, 19, 0], [0, 5, 2025, 22], [0, 0, 10, 7134]]"
Sarajevo,Bosnia,2024,Bosnia_Sarajevo_NW,0.993989933,"[[0, 0, 0, 0], [0, 5043, 98, 0], [0, 44, 12148, 31], [0, 0, 67, 22502]]",0.995303288,"[[0, 0, 0, 0], [0, 1304, 22, 0], [0, 5, 2997, 5], [0, 0, 15, 5659]]"
Sofia,Bulgaria,2019,Bulgaria_Sofia_C,0.993846543,"[[0, 2, 0, 0], [0, 21960, 49, 0], [0, 70, 12089, 45], [0, 0, 77, 5198]]",0.99553662,"[[0, 1, 0, 0], [0, 5512, 6, 0], [0, 16, 3013, 3], [0, 0, 18, 1289]]"
Sofia,Bulgaria,2024,Bulgaria_Sofia_C,0.994297156,"[[0, 1, 0, 0], [0, 22186, 56, 0], [0, 62, 11853, 50], [0, 0, 56, 5190]]",0.994383149,"[[0, 0, 0, 0], [0, 5653, 13, 0], [0, 12, 2908, 15], [0, 0, 16, 1353]]"
Sofia,Bulgaria,2019,Bulgaria_Sofia_N,0.991386736,"[[1, 3, 0, 0], [0, 19685, 174, 0], [0, 27, 16489, 8], [0, 0, 128, 2959]]",0.991572188,"[[0, 0, 0, 0], [0, 4939, 41, 0], [0, 6, 4172, 0], [0, 0, 37, 772]]"
Sofia,Bulgaria,2024,Bulgaria_Sofia_N,0.993308513,"[[0, 0, 0, 0], [0, 15244, 73, 0], [0, 75, 15544, 104], [0, 0, 14, 8698]]",0.992658305,"[[0, 0, 0, 0], [0, 3829, 22, 0], [0, 18, 3770, 28], [0, 0, 4, 2136]]"
Sofia,Bulgaria,2019,Bulgaria_Sofia_NE,0.994784552,"[[158, 4, 0, 0], [5, 15908, 61, 0], [0, 38, 18977, 18], [0, 0, 84, 5012]]",0.994339623,"[[54, 0, 0, 0], [6, 4086, 14, 0], [0, 10, 4581, 7], [0, 0, 20, 1292]]"
Sofia,Bulgaria,2024,Bulgaria_Sofia_NE,0.9917613,"[[141, 16, 0, 0], [13, 10063, 78, 0], [0, 34, 16180, 97], [0, 0, 95, 13702]]",0.991270319,"[[48, 5, 0, 0], [3, 2433, 18, 0], [0, 9, 4049, 33], [0, 0, 19, 3349]]"
Sofia,Bulgaria,2019,Bulgaria_Sofia_E,0.994437562,"[[0, 7, 0, 0], [0, 24547, 29, 0], [0, 93, 12101, 7], [0, 0, 84, 2683]]",0.994477912,"[[0, 2, 0, 0], [0, 6234, 11, 0], [0, 22, 3008, 3], [0, 0, 17, 663]]"
Sofia,Bulgaria,2024,Bulgaria_Sofia_E,0.994598669,"[[0, 0, 0, 0], [0, 22247, 59, 0], [0, 64, 13963, 21], [0, 0, 71, 3380]]",0.994239276,"[[0, 0, 0, 0], [0, 5388, 15, 0], [0, 16, 3410, 8], [0, 0, 17, 867]]"
Sofia,Bulgaria,2019,Bulgaria_Sofia_SE,0.992656642,"[[22, 0, 0, 0], [1, 18186, 123, 0], [0, 62, 15364, 40], [0, 0, 67, 6035]]",0.992585069,"[[6, 0, 0, 0], [0, 4420, 26, 0], [0, 27, 3931, 9], [0, 0, 11, 1415]]"
Sofia,Bulgaria,2024,Bulgaria_Sofia_SE,0.992974824,"[[20, 7, 0, 0], [12, 18827, 72, 0], [0, 95, 13097, 49], [0, 0, 46, 7774]]",0.993990629,"[[3, 0, 0, 0], [3, 4565, 16, 0], [0, 14, 3282, 17], [0, 0, 9, 1909]]"
Sofia,Bulgaria,2019,Bulgaria_Sofia_S,0.993117035,"[[0, 2, 0, 0], [0, 14562, 74, 0], [0, 68, 14420, 68], [0, 0, 64, 10841]]",0.993145161,"[[0, 0, 0, 0], [0, 3572, 17, 0], [0, 16, 3606, 14], [0, 0, 21, 2674]]"
Sofia,Bulgaria,2024,Bulgaria_Sofia_S,0.992659401,"[[2, 0, 0, 0], [0, 16517, 84, 0], [0, 86, 12016, 84], [0, 0, 39, 11087]]",0.993580881,"[[0, 0, 0, 0], [0, 4305, 9, 0], [0, 22, 2976, 27], [0, 0, 7, 2780]]"
Sofia,Bulgaria,2019,Bulgaria_Sofia_SW,0.993884174,"[[0, 0, 0, 0], [0, 10258, 71, 0], [0, 51, 11320, 75], [0, 0, 48, 18237]]",0.993791308,"[[0, 0, 0, 0], [0, 2605, 24, 0], [0, 12, 2787, 11], [0, 0, 15, 4532]]"
Sofia,Bulgaria,2024,Bulgaria_Sofia_SW,0.994388188,"[[0, 0, 0, 0], [0, 11480, 64, 0], [0, 58, 10567, 72], [0, 0, 31, 17822]]",0.994175537,"[[0, 0, 0, 0], [0, 2896, 11, 0], [0, 11, 2712, 26], [0, 0, 10, 4292]]"
Sofia,Bulgaria,2019,Bulgaria_Sofia_W,0.992581043,"[[0, 1, 0, 0], [0, 17744, 79, 0], [0, 92, 14238, 63], [0, 0, 60, 7486]]",0.99323909,"[[0, 0, 0, 0], [0, 4303, 14, 0], [0, 22, 3566, 19], [0, 0, 11, 1827]]"
Sofia,Bulgaria,2024,Bulgaria_Sofia_W,0.993700549,"[[0, 0, 0, 0], [0, 18102, 67, 0], [0, 89, 13207, 42], [0, 0, 52, 8127]]",0.99328586,"[[0, 0, 0, 0], [0, 4472, 13, 0], [0, 28, 3258, 12], [0, 0, 13, 2034]]"
Sofia,Bulgaria,2019,Bulgaria_Sofia_NW,0.990226376,"[[0, 1, 0, 0], [0, 15826, 120, 0], [0, 82, 20011, 10], [0, 0, 176, 3575]]",0.990650487,"[[0, 2, 0, 0], [0, 4005, 33, 0], [0, 16, 5030, 2], [0, 0, 41, 925]]"
Sofia,Bulgaria,2024,Bulgaria_Sofia_NW,0.994672736,"[[0, 0, 0, 0], [0, 14228, 69, 0], [0, 51, 18104, 85], [0, 0, 8, 7438]]",0.99565481,"[[0, 0, 0, 0], [0, 3494, 8, 0], [0, 15, 4517, 16], [0, 0, 4, 1842]]"
Zagreb,Croatia,2019,Croatia_Zagreb_C,0.993199157,"[[1, 1, 0, 0], [0, 18721, 33, 0], [0, 91, 10932, 101], [0, 0, 45, 9923]]",0.992084433,"[[0, 0, 0, 0], [1, 4566, 7, 0], [0, 27, 2694, 34], [0, 0, 9, 2516]]"
Zagreb,Croatia,2024,Croatia_Zagreb_C,0.994495966,"[[1, 2, 0, 0], [0, 19019, 40, 0], [0, 62, 10528, 67], [0, 0, 48, 10022]]",0.995172483,"[[1, 0, 0, 0], [0, 4819, 8, 0], [0, 18, 2612, 10], [0, 0, 12, 2463]]"
Zagreb,Croatia,2019,Croatia_Zagreb_N,0.994472927,"[[0, 0, 0, 0], [0, 2610, 40, 0], [0, 21, 6247, 132], [0, 0, 28, 30907]]",0.993673469,"[[0, 0, 0, 0], [0, 687, 9, 0], [0, 12, 1509, 35], [0, 0, 6, 7542]]"
Zagreb,Croatia,2024,Croatia_Zagreb_N,0.993793814,"[[0, 0, 0, 0], [0, 2750, 31, 0], [0, 31, 5496, 176], [0, 0, 9, 31306]]",0.993790686,"[[0, 0, 0, 0], [0, 694, 4, 0], [0, 7, 1353, 47], [0, 0, 4, 7876]]"
Zagreb,Croatia,2019,Croatia_Zagreb_NE,0.993461094,"[[0, 0, 0, 0], [0, 3271, 56, 0], [0, 17, 9120, 156], [0, 0, 31, 27111]]",0.995071869,"[[0, 0, 0, 0], [0, 763, 10, 0], [0, 3, 2232, 30], [0, 0, 5, 6697]]"
Zagreb,Croatia,2024,Croatia_Zagreb_NE,0.993338062,"[[0, 0, 0, 0], [0, 3589, 27, 0], [0, 30, 7598, 191], [0, 0, 15, 28028]]",0.994513716,"[[0, 0, 0, 0], [0, 929, 8, 0], [0, 6, 1942, 35], [0, 0, 6, 7099]]"
Zagreb,Croatia,2019,Croatia_Zagreb_E,0.993518612,"[[15, 6, 0, 0], [9, 19594, 33, 0], [0, 89, 11730, 60], [0, 0, 60, 8056]]",0.992548585,"[[9, 1, 0, 0], [3, 4858, 5, 0], [0, 31, 2870, 17], [0, 0, 17, 2120]]"
Zagreb,Croatia,2024,Croatia_Zagreb_E,0.993755194,"[[0, 19, 0, 0], [0, 19967, 32, 0], [0, 93, 10406, 63], [0, 0, 41, 9092]]",0.993766965,"[[0, 3, 0, 0], [0, 4915, 11, 0], [0, 17, 2664, 19], [0, 0, 12, 2306]]"
Zagreb,Croatia,2019,Croatia_Zagreb_SE,0.992001192,"[[483, 13, 0, 0], [62, 11273, 37, 0], [0, 52, 15409, 112], [0, 0, 46, 12769]]",0.992269852,"[[121, 7, 0, 0], [14, 2736, 8, 0], [0, 12, 3889, 30], [0, 0, 6, 3138]]"
Zagreb,Croatia,2024,Croatia_Zagreb_SE,0.99139801,"[[500, 23, 0, 0], [74, 10461, 48, 0], [0, 29, 14683, 121], [0, 0, 50, 14118]]",0.991691395,"[[150, 3, 0, 0], [15, 2722, 13, 0], [0, 8, 3703, 32], [0, 0, 13, 3451]]"
Zagreb,Croatia,2019,Croatia_Zagreb_S,0.991751797,"[[361, 0, 0, 0], [31, 13170, 73, 0], [0, 46, 15179, 133], [0, 0, 44, 10608]]",0.992236489,"[[95, 0, 0, 0], [6, 3240, 11, 0], [0, 12, 3838, 36], [0, 0, 13, 2796]]"
Zagreb,Croatia,2024,Croatia_Zagreb_S,0.991278044,"[[360, 1, 0, 0], [29, 13106, 71, 0], [0, 49, 15326, 123], [0, 0, 73, 10532]]",0.992358837,"[[94, 0, 0, 0], [6, 3304, 19, 0], [0, 9, 3930, 32], [0, 0, 11, 2672]]"
Zagreb,Croatia,2019,Croatia_Zagreb_SW,0.977938642,"[[833, 307, 0, 0], [316, 10949, 80, 0], [0, 35, 15773, 82], [0, 0, 76, 12163]]",0.977859412,"[[208, 80, 0, 0], [74, 2664, 18, 0], [0, 9, 3906, 24], [0, 0, 18, 3071]]"
Zagreb,Croatia,2024,Croatia_Zagreb_SW,0.978155638,"[[824, 323, 0, 0], [320, 10818, 73, 0], [0, 43, 17047, 68], [0, 0, 62, 11119]]",0.976126529,"[[215, 71, 0, 0], [97, 2585, 20, 0], [0, 9, 4316, 21], [0, 0, 22, 2697]]"
Zagreb,Croatia,2019,Croatia_Zagreb_W,0.993486236,"[[0, 0, 0, 0], [0, 15694, 33, 0], [0, 76, 11534, 106], [0, 0, 46, 12580]]",0.992933576,"[[0, 0, 0, 0], [0, 3858, 7, 0], [0, 13, 2827, 37], [0, 0, 13, 3151]]"
