City,State,Year,Filename,Training Accuracy,Training Confusion Matrix,Validation Accuracy,Validation Confusion Matrix
PimpriChinchwad,Maharashtra,2024,Maharashtra_PimpriChinchwad_E,0.9999415529,"[[0, 2, 0], [0, 33773, 0], [0, 0, 444]]",1,"[[0, 0, 0], [0, 8506, 0], [0, 0, 146]]"
PimpriChinchwad,Maharashtra,2019,Maharashtra_PimpriChinchwad_SE,0.9960379589,"[[224, 14, 0], [110, 30714, 0], [0, 0, 235]]",0.9958009925,"[[61, 1, 0], [32, 7698, 0], [0, 0, 67]]"
PimpriChinchwad,Maharashtra,2024,Maharashtra_PimpriChinchwad_SE,0.9950169562,"[[244, 18, 0], [126, 27608, 0], [0, 0, 902]]",0.9937414966,"[[67, 5, 0], [41, 6999, 0], [0, 0, 238]]"
PimpriChinchwad,Maharashtra,2019,Maharashtra_PimpriChinchwad_S,1,"[[0, 0, 0], [0, 35759, 0], [0, 0, 356]]",1,"[[0, 0, 0], [0, 9059, 0], [0, 0, 94]]"
PimpriChinchwad,Maharashtra,2024,Maharashtra_PimpriChinchwad_S,1,"[[0, 0, 0], [0, 32990, 0], [0, 0, 337]]",1,"[[0, 0, 0], [0, 8416, 0], [0, 0, 91]]"
PimpriChinchwad,Maharashtra,2019,Maharashtra_PimpriChinchwad_SW,1,"[[0, 0, 0], [0, 35639, 0], [0, 0, 304]]",1,"[[0, 0, 0], [0, 8800, 0], [0, 0, 55]]"
PimpriChinchwad,Maharashtra,2024,Maharashtra_PimpriChinchwad_SW,1,"[[0, 0, 0], [0, 33834, 0], [0, 0, 432]]",1,"[[0, 0, 0], [0, 8508, 0], [0, 0, 113]]"
PimpriChinchwad,Maharashtra,2019,Maharashtra_PimpriChinchwad_W,0.9999708964,"[[33, 1, 0], [0, 34247, 0], [0, 0, 79]]",1,"[[3, 0, 0], [0, 8475, 0], [0, 0, 20]]"
PimpriChinchwad,Maharashtra,2024,Maharashtra_PimpriChinchwad_W,1,"[[65, 0, 0], [0, 31969, 0], [0, 0, 335]]",1,"[[12, 0, 0], [0, 8018, 0], [0, 0, 84]]"
PimpriChinchwad,Maharashtra,2019,Maharashtra_PimpriChinchwad_NW,0.9999424676,"[[0, 2, 0], [0, 34729, 0], [0, 0, 32]]",1,"[[0, 0, 0], [0, 8818, 0], [0, 0, 5]]"
PimpriChinchwad,Maharashtra,2024,Maharashtra_PimpriChinchwad_NW,0.9999671798,"[[0, 1, 0], [0, 29600, 0], [0, 0, 868]]",1,"[[0, 0, 0], [0, 7414, 0], [0, 0, 202]]"
Pune,Maharashtra,2019,Maharashtra_Pune_C,0.9997140133,"[[0, 9, 0], [0, 31367, 0], [0, 0, 94]]",0.999869961,"[[0, 1, 0], [0, 7669, 0], [0, 0, 20]]"
